House/Unit/Lot No.,Street Type,Street Name,Section,Floor No.,Building Name,City,State,Postcode,unit_num_match (Y/N),tid (option),source (option),Uid,Result type,result string,Salesman,Email Notification,telegram
C-5-11,JALAN,JALAN 2/17,MUTIARA FADASON,,FTTH BLOK C MUTIARA FADASON,KUALA LUMPUR,WILAYAH PERSEKUTUAN,52000,N
,JALAN,SELASEH 7,TAMAN SELASEH FASA 1,-,SURAU AL-HUSNA,BATU CAVES,SELANGOR,68100,N,,,xxxx,,,rex,rex@gmail.com; admin@gmail.com,
1,JALAN,SELASEH 13,TAMAN SELASEH FASA 1,,,BATU CAVES,SELANGOR,68100,Y,,,,,,,,
01-Feb,JALAN,PPS 1,TAMAN SELASEH,2,,BATU CAVES,SELANGOR,68100,N,,,,,,,,
10,JALAN,SELASEH 15,TAMAN SELASEH FASA 2,,,BATU CAVES,SELANGOR,68100,Y,,,,,,,,
10,JALAN,SELASEH 2,TAMAN SELASEH FASA 1,,,BATU CAVES,SELANGOR,68100,Y,,,,,,,,
10,JALAN,SELASEH 24,TAMAN SELASEH FASA 2,,,BATU CAVES,SELANGOR,68100,Y,,,,,,,,
10-Jan,JALAN,PPS 1,TAMAN SELASEH,1,,BATU CAVES,SELANGOR,68100,N,,,,,,,,
100,JALAN,SELASEH 20,TAMAN SELASEH 36,-,,BATU CAVES,SELANGOR,68100,N,,,,,,,,
A-1-1,JALAN,PS 11,PRIMA SELAYANG,1,DATARAN EMERALD,BATU CAVES,SELANGOR,68100,,,,,,,,,
A-1-10,JALAN,PS 11,PRIMA SELAYANG,1,DATARAN EMERALD,BATU CAVES,SELANGOR,68100,,,,,,,,,
A-1-11,JALAN,PS 11,PRIMA SELAYANG,1,DATARAN EMERALD,BATU CAVES,SELANGOR,68100,,,,,,,,,
A-1-12,JALAN,PS 11,PRIMA SELAYANG,1,DATARAN EMERALD,BATU CAVES,SELANGOR,68100,,,,,,,,,
A-1-2,JALAN,PS 11,PRIMA SELAYANG,1,DATARAN EMERALD,BATU CAVES,SELANGOR,68100,,,,,,,,,
,,,,,,,,,,,,bulk,,,,,
,,,,,,,,,,,,,,,,,
setting,,,,,,,,,,,,,,,,,
default email,array,,,,,,,Y = need to match unit number.,,,,,,,,,
platform priority,,,,,,,,N = don’t need to match unit number.,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,possible scenarios:,,,,,,,,,
read api,,,,,,,,TM might add these onto the table rows.,,,,,,,,,
by id,,,,,,,,1. FTTH,,,,,,,,,
"by created, last update, result type",,,,,,,,2. VDSL,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
result,,,,,,,,,,,,,,,,,
Error,1,,,,,,,house/ building & street name,,,,,,,,,
Error 1024,2,,,,,,,,,,,,,,,,
No Result,3,,,,,,,,,,,,,,,,
Available,4,,,,,,,coencpt: has building name = high rise,,,,,,,,,
Transfer Request,5,,,,,,,,,,,,,,,,
Port Full,6,,,,,,,,,,,,,,,,
Existing,7,,,,,,,,,,,,,,,,
